
6.1.001.002.024;d;2025;2020-10-03 17:24:59.670558;
6.1.001.002.024;d;2025;2020-10-03 17:34:50.023025;
6.1.001.001.027;D;2025;2020-10-03 18:51:16.495109;
6.1.001.001.027;D;2025;2020-10-03 18:54:54.279567;
6.1.001.001.027;H;2025;2020-10-03 18:55:02.646800;
6.1.001.001.027;H;2090;2020-10-03 18:55:25.762324;
6.1.001.001.027;H;2090;2020-10-03 18:55:29.270710;
6.1.001.002.024;H;2090;2020-10-03 18:56:20.112955;
6.1.001.002.024;W;2090;2020-10-03 18:56:26.676812;
6.1.001.002.024;Z;2090;2020-10-03 18:58:16.455043;
6.1.001.002.024;u;2090;2020-10-03 19:01:13.626179;
6.1.001.002.024;u;2090;2020-10-03 19:01:31.383185;
6.1.001.002.024;U;2025;2020-10-03 19:01:55.307025;
6.1.001.002.024;U;2025;2020-10-03 19:08:31.558390;
6.1.001.002.024;D;2025;2020-10-03 19:08:56.195656;
6.1.001.001.027;D;2025;2020-10-03 19:09:10.083995;
6.1.001.001.027;D;2025;2020-10-03 19:16:37.419268;
6.1.003.002.373;U;2020;2020-10-03 19:21:36.450807;
6.1.003.002.373;U;2020;2020-10-03 19:22:14.567139;
6.1.003.002.373;U;2020;2020-10-03 19:22:27.505247;
6.1.003.002.373;U;2020;2020-10-03 19:23:21.346206;
6.1.003.002.373;U;2020;2020-10-03 19:23:38.801204;
6.1.001.001.027;D;2025;2020-10-03 19:23:38.801204;
6.1.003.002.373;U;2020;2020-10-03 19:24:02.194904;
6.1.003.002.373;U;2020;2020-10-03 19:24:02.194904;
6.1.003.002.373;Z;2020;2020-10-03 19:25:23.626630;
6.1.003.002.373;Z;2020;2020-10-03 19:26:18.384426;
6.1.001.001.027;G;2025;2020-10-03 19:26:18.384426;
6.1.003.002.373;K;2020;2020-10-03 19:27:55.646751;
6.1.003.002.373;L;2020;2020-10-03 19:28:09.681256;
6.1.003.002.373;B;2020;2020-10-03 19:28:19.500345;
6.1.003.002.373;E;2020;2020-10-03 19:29:45.659095;
6.1.003.002.373;E;1111;2020-10-03 19:30:09.658624;
6.1.003.002.373;E;5555;2020-10-03 19:30:21.285417;
6.1.003.002.373;E;hhhh;2020-10-03 19:35:26.114240;
6.1.003.002.373;E;2025;2020-10-03 19:35:46.851666;
6.1.003.002.373;E;2025;2020-10-03 19:36:35.161314;
6.1.003.002.373;E;zzzz;2020-10-03 19:36:43.804350;
6.1.003.002.373;E;zzzz;2020-10-03 19:38:22.379303;
6.1.003.002.373;E;zzzz;2020-10-03 19:45:36.184555;
6.1.003.002.373;E;zzzz;2020-10-03 19:45:36.184555;
6.1.003.002.373;E;zzzz;2020-10-03 19:45:36.184555;
6.1.003.002.373;E;zzzz;2020-10-03 19:45:57.001068;
6.1.003.002.373;E;zzzz;2020-10-03 19:46:02.419518;
6.1.003.002.373;E;zzzz;2020-10-03 19:46:02.419518;
6.1.003.002.373;E;zzzz;2020-10-03 19:46:02.419518;
6.1.003.002.373;E;zzzz;2020-10-03 19:46:12.262177;
6.1.003.002.373;E;zzzz;2020-10-03 19:46:12.262177;
6.1.003.002.373;E;zzzz;2020-10-03 19:46:12.262177;
6.1.003.002.373;E;zzzz;2020-10-03 19:46:12.262177;
6.1.003.002.373;E;zzzz;2020-10-03 19:46:12.262177;
6.1.003.002.373;E;zzzz;2020-10-03 19:48:10.136051;
6.1.003.002.373;E;zzzz;2020-10-03 19:48:10.136051;
6.1.003.002.373;E;zzzz;2020-10-03 19:48:47.675272;
6.1.003.002.373;E;zzzz;2020-10-03 19:49:03.871836;
6.1.003.002.373;E;zzzz;2020-10-03 19:49:35.152896;
6.1.003.002.373;E;zzzz;2020-10-03 19:49:45.232395;
